ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CCDD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,Informal_P,FAC300_ANUAL
2024,01,43839,12,0223,1,3,2024014383912022312,18,1,2,3,1,2, ,2,15,2,2,3,1,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,3, , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,10.564841904231
2024,01,43839,12,0224,1,3,2024014383912022411,18,1,1,1,1,2, ,2,74,1,1,10,8,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,2, ,2,2,2,2,2,2,10,2,4, , , , , , , , , , , , ,1, ,8.3287424079799
2024,01,43839,12,0225,1,3,2024014383912022511,18,1,1,1,1,2, ,1,57,1,1,1,8,1966,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,0,10,10,10,10,10,10,60, ,60,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,2,1, , , , , , ,1450, , ,1450,1450,1450,1,1,9.31350182920077
2024,01,43839,12,0225,1,3,2024014383912022512,18,1,2,2,1,2, ,2,55,2,2,2,10,1968,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,13,5,2,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,7.45164426842887
2024,01,43839,12,0225,1,3,2024014383912022513,18,1,3,3,1,2, ,2,22,3,3,22,5,2001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,11, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,11.492026619621
2024,01,43839,12,0225,1,3,2024014383912022514,18,1,4,4,1,2, ,1,22,4,4,7,3,2001,1, , , , , , , , , , , , , , , ,9621,4923,3,5,1, ,5,9998,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,1,4,1500, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , ,166,1500, , , ,1500,1500,1666,1,1,13.0388187253212
2024,01,43839,12,0225,1,3,2024014383912022515,18,1,5,6,1,2, ,2,95,5,5,5,3,1928,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,1,2,2,1,1,2,2,2,4, , , , , , , , , , , , ,1, ,8.3287424079799
2024,01,43842,6,0132,1,3,202301438426013211,18,1,1,1,1,2, ,2,47,1,1,28,7,1976,1, , , , , , , , , , , , , , , ,3314,4922,1, ,1, ,1,5,0,12,12,12,12,12,12,72, ,72,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,2,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,3500, , ,3500,3500,3500,1,2,9.5208533564297
2024,01,43842,6,0134,1,3,202301438426013411,18,1,1,1,1,2, ,1,59,1,1,4,4,1964,1, , , , , , , , , , , , , , , ,2142,8411,3,2, , ,5,9998,0,10,10,10,10,10,5,55, ,55,1, ,2, ,2,2,4,4000, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , ,67,4000, , , ,4000,4000,4067,1,2,10.7948828428194
2024,01,43842,6,0134,1,3,202301438426013412,18,1,2,2,1,2, ,2,56,2,2,28,4,1967,1, , , , , , , , , , , , , , , ,3321,6512,3,5,1, ,4,400,0,8,8,8,8,8,4,44, ,44,1, ,2, ,2,1,4,1050, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , , , , ,1050, , , ,1050,1050,1050,1,2,9.5208533564297
2024,01,43842,6,0134,1,3,202301438426013413,18,1,3,3,1,2, ,2,36,3,3,3,1,1988,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7,1,1,13,3,1,1,1,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1, ,11.1561448582088
2024,01,43842,6,0134,1,3,202301438426013416,18,1,4,3,1,2, ,2,27,4,4,21,9,1996,1, , , , , , , , , , , , , , , ,4417,8411,3,2, , ,5,9998,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,1800, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , , , ,42,1800, , , ,1800,1800,1842,1,2,11.1561448582088
2024,01,43842,6,0135,1,3,202301438426013511,18,1,1,1,1,2, ,1,79,1,1,13,4,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,9,5, ,2,2,2,2,2,2,10,6,4, , , , , , , , , , , , ,1, ,10.7948828428194
2024,01,43842,6,0135,1,3,202301438426013512,18,1,2,2,1,2, ,2,82,2,2,26,10,1941,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,9.5208533564297
2024,01,43843,7,0059,1,3,202401438437005911,18,1,1,1,1,2, ,2,28,1,1,28,5,1995,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,2,4, , , , , , , , , , , , ,1, ,6.1543020942129
2024,01,43843,7,0059,1,3,202401438437005912,18,1,2,2,1,2, ,1,26,2,2,22,6,1997,1, , , , , , , , , , , , , , , ,220,8423,3,1, , ,5,9998,0,8,8,0,8,8,0,32, ,32,1, ,2, ,2,2,4,3200,25, , , , , , , , , , , , , ,1,4,2, ,2, ,2, ,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,9,3, ,2,2,2,2,2,2,10,1,1,108, , , ,100,3200, , , ,3308,3308,3408,1,2,9.16189558510503
2024,01,43843,7,0059,1,3,202401438437005913,18,1,3,3,1,2, ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , 
2024,01,43843,7,0070,1,3,202310438437007011,18,1,1,1,1,2, ,2,61,1,1,19,5,1962,2,1, , , , , , , , , , , , , , ,5312,8510,3,2, , ,5,9998,0,0,0,0,0,0,0,0, ,40,2,40,2, ,2,2,4,1900, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,11,5, ,2,2,2,2,2,2,10,6,1, , , , ,92,1900, , , ,1900,1900,1992,1,2,5.25219137030615
2024,01,43843,7,0070,1,3,202310438437007012,18,1,2,2,1,2, ,1,65,2,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , 
2024,01,43843,7,0072,1,3,202310438437007211,18,1,1,1,1,2, ,2,82,1,1,19,1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1, ,5.25219137030615
